Code,Name,MainGroup,SubTags,Industry,GroupSize
2250,IKKA-KY,傳產其他,,"家電, 家電零組件, 汽機車零組件",246
2254,巨鎧精密-創,傳產其他,,"汽機車零組件, 車燈",246
2258,鴻華先進-創,電動車,汽車,"汽車製造, 車輛整車, 電動車",54
2301,光寶科,"塑膠, 蘋果供應鏈, 電動車, 電源供應器","Apple蘋果, BBU, CES, GB200, GB300, PS5, 無線充電, 車用電子, 電源供應器, 鴻海MIH電動車平台","LED, LED封裝, LED照明產品, PV INVERTER, 事務機器, 光碟機／燒錄機, 光纖被動元件, 光通訊, 太陽能, 機殼, 無線充電, 無線網路設備系統(WLAN), 網通設備, 車用鋰電池, 車用電子, 週邊產品, 鍵盤, 電子其他, 電子零件元件, 電池, 電源供應器, 電腦系統業","62, 29, 54, 35"
2302,麗正,記憶體,IC-製造,"二極體, 分離式元件, 電晶體",27
2303,聯電,"IC代工, 網通","AMD, CES, IC-代工, 元宇宙, 功率半導體, 無人機, 福建自貿區, 穿載裝置","IC製造, 晶圓代工","31, 92"
2305,全友,"半導體設備, 生技醫療",掃描器,"掃瞄器, 設備儀器商, 診斷與監測用醫材, 週邊產品, 醫學影像裝置, 量測儀器","109, 134"
2308,台達電,"塑膠, 網通, 蘋果供應鏈, 被動元件, 電動車, 電源供應器","3DIC聯盟, AWS, Apple蘋果, BBU, CES, GB200, GB300, IOT物聯網, MIH, MWC, PS5, Tesla特斯拉, iPhone, 元宇宙, 太陽能, 智慧城市, 比特幣挖礦, 氣候變遷, 氫燃料電池, 無線充電, 穿載裝置, 第三方支付, 虛擬貨幣, 被動元件, 變壓器, 車用電子, 車聯網, 電動車, 電感, 電源供應器, 鴻海MIH電動車平台","INTERNET技術與基礎設施, LED, LED照明產品, PV INVERTER, UPS, 充電樁, 其他電子零件, 太陽能, 投影機, 散熱模組, 散熱風扇馬達, 晶片電阻, 機器人, 無線充電, 系統整合, 網通設備, 被動元件, 變壓器, 車用充電相關, 車用鋰電池, 車用電子, 軟體業, 雲端科技, 電力設備, 電子零件元件, 電感, 電池, 電源供應器, 顯示器","62, 92, 29, 49, 54, 35"
2312,金寶,"網通, 電動車","CES, EMS, 穿載裝置, 自動駕駛, 衛星/低軌衛星, 車用電子","POS機系統, 印表機, 家電, 工業電腦, 手機, 手機製造, 桌上型電腦, 消費性電子產品, 硬碟相關, 穿戴式裝置, 筆記型電腦製造, 網通設備, 視訊轉換相關, 車用電子, 週邊產品, 電子製造服務, 電腦系統業","92, 54"
2313,華通,"PCB, 網通, 蘋果供應鏈, 電動車","Apple蘋果, PCB, PCB-製造, Tesla特斯拉, iPhone, 小米, 美元升值, 衛星/低軌衛星, 電動車","印刷電路板, 印刷電路板相關, 軟板","64, 92, 29, 54"
